model,image,ms,peak_vram_mib,fg_fraction,soft_edge_fraction,holes
inspyrenet,291e88c5-3d23-4344-af53-e3e865c22165.jpeg,841.0,2924,0.6,0.6089,31
inspyrenet,6b1e313f-64ad-4371-954b-6331f6ad9927.jpeg,840.0,2924,0.174,0.0137,0
inspyrenet,6ca04e8a-33ad-4378-9409-122d13513596.jpeg,837.0,2924,0.288,0.0387,1
inspyrenet,7bcac3f8-131c-4c27-ba72-0c10b69e14e8.jpeg,838.0,2924,0.693,0.0321,3
inspyrenet,a4a1cece-21bc-4bc4-b445-2eaa42bb44f1.jpeg,874.0,2924,0.297,0.0058,0
inspyrenet,a4b9898c-e035-4a8a-9bfb-0b7f969b3c97.jpeg,839.0,2924,0.208,0.0104,0
inspyrenet,a96a34f2-9314-4202-9223-83686bc2a47d.jpeg,839.0,2924,0.246,0.0295,3
inspyrenet,aaacb98e-57b1-458f-bfe2-f348bcde1ee2.jpeg,839.0,2924,0.583,0.059,15
inspyrenet,b4b717b2-c087-43a2-beb3-ba37ad5a9d8b.jpeg,840.0,2924,0.12,0.0719,3
inspyrenet,eab76f8f-20cf-416e-8c94-235e8762bb4d.jpeg,839.0,2924,0.39,0.0138,0
inspyrenet,brass-bidri-specular-01.jpg,893.0,2924,0.591,0.0115,0
inspyrenet,brass-bidri-specular-02.jpg,884.0,2924,0.182,0.0052,0
inspyrenet,brass-bidri-specular-04.jpg,888.0,2924,0.373,0.0091,0
inspyrenet,brass-diya-specular-01.jpg,896.0,2924,0.374,0.0116,5
inspyrenet,brass-diya-specular-02.jpg,879.0,2924,0.073,0.0906,3
inspyrenet,brass-lamp-specular-01.jpg,883.0,2924,0.248,0.0113,1
inspyrenet,brass-vessel-specular-01.jpg,883.0,2924,0.286,0.0046,0
inspyrenet,brass-vessel-specular-03.jpg,886.0,2924,0.222,0.0047,0
inspyrenet,pottery-blackware-darkfloor-03.jpg,869.0,2924,0.267,0.0103,1
inspyrenet,pottery-blackware-darkfloor-04.jpg,871.0,2924,0.368,0.0153,1
inspyrenet,pottery-darkclay-darkfloor-01.jpg,887.0,2924,0.448,0.0065,0
inspyrenet,pottery-darkclay-darkfloor-02.jpg,856.0,2924,0.4,0.0084,0
inspyrenet,pottery-darkclay-darkfloor-04.jpg,884.0,2924,0.341,0.01,1
inspyrenet,pottery-terracotta-darkfloor-01.jpg,845.0,2924,0.118,0.0117,4
inspyrenet,pottery-terracotta-darkfloor-04.jpg,860.0,2924,0.321,0.0068,0
inspyrenet,pottery-earthen-sharp-03.jpg,880.0,2924,0.703,0.0083,0
