image,model,fg_fraction,soft_edge_fraction,components,holes,consensus_iou
brass-vessel-specular-03.jpg,u2net,0.2208,0.01116,1,0,0.9942
pottery-blackware-darkfloor-03.jpg,birefnet,0.2665,0.00702,1,1,0.9966
pottery-blackware-darkfloor-03.jpg,birefnet-lite,0.2663,0.00848,1,1,0.997
pottery-blackware-darkfloor-03.jpg,inspyrenet,0.2668,0.01033,1,1,0.9961
pottery-blackware-darkfloor-03.jpg,isnet,0.2665,0.01489,1,1,0.9955
pottery-blackware-darkfloor-03.jpg,u2net,0.267,0.01677,1,1,0.9927
pottery-blackware-darkfloor-04.jpg,birefnet,0.3662,0.00802,1,1,0.9955
pottery-blackware-darkfloor-04.jpg,birefnet-lite,0.368,0.01094,1,1,0.9938
pottery-blackware-darkfloor-04.jpg,inspyrenet,0.3682,0.01534,1,1,0.993
pottery-blackware-darkfloor-04.jpg,isnet,0.3675,0.05618,1,1,0.9939
pottery-blackware-darkfloor-04.jpg,u2net,0.3664,0.0208,1,1,0.9946
pottery-darkclay-darkfloor-01.jpg,birefnet,0.4477,0.00618,1,0,0.9992
pottery-darkclay-darkfloor-01.jpg,birefnet-lite,0.4475,0.00744,1,0,0.9992
pottery-darkclay-darkfloor-01.jpg,inspyrenet,0.4482,0.00647,1,0,0.9985
pottery-darkclay-darkfloor-01.jpg,isnet,0.4475,0.00785,1,0,0.999
pottery-darkclay-darkfloor-01.jpg,u2net,0.4503,0.01528,1,0,0.9938
pottery-darkclay-darkfloor-02.jpg,birefnet,0.4002,0.00482,1,0,0.9983
pottery-darkclay-darkfloor-02.jpg,birefnet-lite,0.3996,0.00543,1,0,0.9988
pottery-darkclay-darkfloor-02.jpg,inspyrenet,0.3997,0.00842,1,0,0.9988
pottery-darkclay-darkfloor-02.jpg,isnet,0.3997,0.0079,1,0,0.9988
pottery-darkclay-darkfloor-02.jpg,u2net,0.4009,0.01421,1,0,0.9947
pottery-darkclay-darkfloor-04.jpg,birefnet,0.3402,0.00737,1,1,0.9982
pottery-darkclay-darkfloor-04.jpg,birefnet-lite,0.3402,0.00799,1,1,0.9981
pottery-darkclay-darkfloor-04.jpg,inspyrenet,0.3407,0.00998,1,1,0.9972
pottery-darkclay-darkfloor-04.jpg,isnet,0.3403,0.01079,1,1,0.9979
pottery-darkclay-darkfloor-04.jpg,u2net,0.3393,0.0193,1,1,0.9951
pottery-terracotta-darkfloor-01.jpg,birefnet,0.1169,0.00293,1,0,0.9699
pottery-terracotta-darkfloor-01.jpg,birefnet-lite,0.1446,0.0078,3,27,0.7906
pottery-terracotta-darkfloor-01.jpg,inspyrenet,0.1184,0.0117,1,4,0.9659
pottery-terracotta-darkfloor-01.jpg,isnet,0.1152,0.01334,7,0,0.9779
pottery-terracotta-darkfloor-01.jpg,u2net,0.1138,0.01042,1,0,0.967
pottery-terracotta-darkfloor-04.jpg,birefnet,0.3214,0.00524,1,0,0.9976
pottery-terracotta-darkfloor-04.jpg,birefnet-lite,0.3209,0.00573,1,0,0.9985
pottery-terracotta-darkfloor-04.jpg,inspyrenet,0.3212,0.00682,1,0,0.998
pottery-terracotta-darkfloor-04.jpg,isnet,0.3207,0.00682,1,0,0.9983
pottery-terracotta-darkfloor-04.jpg,u2net,0.3196,0.01144,1,0,0.9949
